Rank,Name,Points,17.1 rank,17.1 score,17.2 rank,17.2 score,17.3 rank,17.3 score,17.4 rank,17.4 score,17.5 rank,17.5 score,
221,Sam Colegrove,1867,719,19:59 - s,219,167 reps - s,659,96 reps - s,132,239 reps - s,138,9:01 - s
222,Jack Lowrey,1872,286,17:45 - s,32,209 reps - s,100,191 reps - s,196,229 reps - s,1258,0
222,Sasha Bogojevic,1872,640,19:41 - s,87,189 reps - s,418,118 reps - s,219,225 reps - s,508,11:34 - s
224,Benjamin Born,1873,163,16:41 - s,55,200 reps - s,95,191 reps - s,302,216 reps - s,1258,0
225,Jarrett Page,1876,365,18:13 - s,392,145 reps - s,532,105 reps - s,23,265 reps - s,564,11:59 - s
225,Edison Gutierrez,1876,238,17:24 - s,241,163 reps - s,846,84 reps - s,269,220 reps - s,282,10:01 - s
227,Bill Langston,1878,758,222 reps - s,400,144 reps - s,240,142 reps - s,216,225 reps - s,264,9:52 - s
228,Jason Palmer,1889,88,15:47 - s,175,171 reps - s,809,92 reps - s,428,207 reps - s,389,10:48 - s
229,Paul Medina,1902,281,17:43 - s,504,139 reps - s,436,117 reps - s,199,228 reps - s,482,11:23 - s
230,Bill Powers,1907,532,19:12 - s,497,140 reps - s,171,156 reps - s,408,208 reps - s,299,10:10 - s
231,Greg Sztorc,1914,674,19:50 - s,611,133 reps - s,162,166 reps - s,106,242 reps - s,361,10:38 - s
232,David Lock,1917,235,17:22 - s,312,154 reps - s,577,104 reps - s,614,197 reps - s,179,9:23 - s
