Rank,Name,Points,17.1 rank,17.1 score,17.2 rank,17.2 score,17.3 rank,17.3 score,17.4 rank,17.4 score,17.5 rank,17.5 score,
199,Francois Menard,1300,125,16:44 - s,106,163 reps - s,655,43 reps - s,329,196 reps - s,85,9:12 - s
200,Brad Gingersmith,1306,199,17:47 - s,136,150 reps - s,360,92 reps - s,330,196 reps - s,281,11:35 - s
201,Simon Sawa,1322,585,205 reps - s,189,140 reps - s,91,142 reps - s,295,200 reps - s,162,10:14 - s
202,Yannick Harton,1324,156,17:08 - s,110,162 reps - s,686,0,225,206 reps - s,147,10:00 - s
203,Pj Makinen,1327,112,16:39 - s,203,137 reps - s,389,83 reps - s,385,191 reps - s,238,11:08 - s
204,Jonathan Rhau,1329,108,16:34 - s,244,133 reps - s,121,141 reps - s,206,208 reps - s,650,0
205,Jason Patterson,1331,375,19:46 - s,164,143 reps - s,445,70 reps - s,179,210 reps - s,168,10:20 - s
206,David Vokey,1335,306,19:05 - s,458,108 reps - s,102,142 reps - s,284,201 reps - s,185,10:28 - s
207,Brian Fernandes,1339,512,214 reps - s,259,128 reps - s,51,167 reps - s,342,195 reps - s,175,10:23 - s
208,Olivier Caya,1340,136,16:54 - s,39,180 reps - s,686,0,130,217 reps - s,349,12:39 - s
209,Stuart Tammadge,1342,447,220 reps - s,74,172 reps - s,301,97 reps - s,269,203 reps - s,251,11:16 - s
210,Sean Kilpatrick,1346,406,19:59 - s,275,127 reps - s,393,82 reps - s,52,241 reps - s,220,10:53 - s
210,Aaron Bloom,1346,470,218 reps - s,380,116 reps - s,125,139 reps - s,287,201 reps - s,84,9:11 - s
212,Trevor Milne,1354,266,18:40 - s,107,163 reps - s,485,67 reps - s,332,196 reps - s,164,10:15 - s
213,Nicolas Garcia,1360,293,18:56 - s,417,113 reps - s,123,141 reps - s,106,223 reps - s,421,13:37 - s
214,Glenn Branch,1364,199,17:47 - s,55,175 reps - s,64,154 reps - s,396,190 reps - s,650,0
214,Ben Irvine,1364,334,19:22 - s,140,149 reps - s,126,138 reps - s,691,0,73,9:02 - s
216,Eric Lamothe,1367,318,19:12 - s,386,116 reps - s,82,143 reps - s,427,188 reps - s,154,10:07 - s
216,David Powrie,1367,438,221 reps - s,261,128 reps - s,115,141 reps - s,298,200 reps - s,255,11:17 - s
218,Philip Volk,1371,659,187 reps - s,212,136 reps - s,109,141 reps - s,182,210 reps - s,209,10:45 - s
219,George Reeves,1387,189,17:36 - s,175,141 reps - s,363,92 reps - s,398,190 reps - s,262,11:23 - s
220,Felipe Viola,1388,211,17:59 - s,766,0,174,120 reps - s,112,220 reps - s,125,9:48 - s
221,Jerry Gonyea,1400,68,15:42 - s,567,88 reps - s,276,104 reps - s,128,219 reps - s,361,12:45 - s
222,Tasso Lambrinos,1402,454,219 reps - s,210,136 reps - s,138,131 reps - s,415,189 reps - s,185,10:28 - s
223,Bill Powers,1418,228,18:10 - s,377,117 reps - s,291,100 reps - s,204,208 reps - s,318,12:11 - s
224,Eric Lafortune,1426,283,18:48 - s,336,120 reps - s,274,104 reps - s,336,195 reps - s,197,10:38 - s
225,Paul Tinevez,1442,196,17:42 - s,139,149 reps - s,609,47 reps - s,189,209 reps - s,309,12:04 - s
226,Matthew Moulder,1447,209,17:57 - s,539,91 reps - s,237,106 reps - s,370,192 reps - s,92,9:20 - s
227,Glen Makarewicz,1454,391,19:53 - s,350,119 reps - s,226,107 reps - s,284,201 reps - s,203,10:42 - s
228,Sebastien Noel,1455,326,19:17 - s,584,87 reps - s,10,21:56 - s,100,225 reps - s,435,13:54 - s
229,Paul Abet,1458,459,219 reps - s,152,146 reps - s,517,59 reps - s,93,227 reps - s,237,11:07 - s
229,Jason Salo,1458,377,19:47 - s,251,131 reps - s,94,142 reps - s,347,195 reps - s,389,13:09 - s
231,Mathieu Parent,1471,100,16:26 - s,220,136 reps - s,402,82 reps - s,406,190 reps - s,343,12:35 - s
232,Chris Beilhartz,1473,246,18:24 - s,135,151 reps - s,553,57 reps - s,200,208 reps - s,339,12:30 - s
